Date,Open,High,Low,Close,Adj Close,Volume
2020-11-10,22.100000,23.730000,22.000000,23.639999,23.639999,53205100
2020-11-11,23.760000,23.830000,23.020000,23.620001,23.620001,27960500
2020-11-12,23.350000,23.520000,22.510000,22.650000,22.650000,19722100
2020-11-13,22.700001,23.480000,22.629999,23.180000,23.180000,23908600
2020-11-16,23.790001,24.320000,23.660000,23.930000,23.930000,22384300
2020-11-17,23.650000,24.709999,23.549999,24.200001,24.200001,22034300
2020-11-18,24.510000,24.820000,24.209999,24.230000,24.230000,24001000
2020-11-19,24.299999,24.650000,24.070000,24.450001,24.450001,13929500
2020-11-23,24.750000,25.480000,24.750000,25.480000,25.480000,22774000
2020-11-24,26.030001,27.120001,25.990000,26.840000,26.840000,23024600
2020-11-25,26.709999,27.000000,26.190001,26.660000,26.660000,15680800
2020-11-26,26.410000,26.430000,25.959999,26.250000,26.250000,11803100
2020-11-27,26.430000,26.500000,25.900000,25.900000,25.900000,14340100
2020-11-30,25.709999,26.340000,25.540001,25.549999,25.549999,33606700
2020-12-01,25.980000,26.400000,25.920000,26.299999,26.299999,12790700
2020-12-02,26.290001,27.240000,26.030001,26.660000,26.660000,16340300
2020-12-03,26.870001,27.639999,26.690001,27.200001,27.200001,14481900
2020-12-04,27.709999,28.290001,27.700001,28.100000,28.100000,16206300
2020-12-07,28.000000,28.230000,27.260000,27.469999,27.469999,14894400
2020-12-08,27.320000,27.740000,27.150000,27.230000,27.230000,8495000
2020-12-09,27.230000,27.520000,26.959999,27.260000,27.260000,18354800
2020-12-10,27.480000,28.719999,27.410000,28.250000,28.250000,21953100
2020-12-11,28.059999,28.200001,27.680000,28.010000,28.010000,13098800
2020-12-14,28.459999,28.570000,27.799999,27.889999,27.889999,15227000
2020-12-15,27.889999,28.420000,27.860001,28.250000,28.250000,11595600
2020-12-16,28.280001,28.830000,27.930000,28.559999,28.559999,19478300
2020-12-17,28.629999,29.040001,28.530001,28.920000,28.920000,9853700
2020-12-18,28.790001,29.040001,28.549999,28.620001,28.620001,9994200
2020-12-21,27.650000,27.990000,27.370001,27.559999,27.559999,12692700
2020-12-22,27.760000,28.090000,27.590000,27.840000,27.840000,8388700
2020-12-23,27.969999,28.920000,27.969999,28.440001,28.440001,5874900
2020-12-28,28.799999,29.129999,28.629999,28.650000,28.650000,7255700
2020-12-29,28.799999,28.940001,28.410000,28.670000,28.670000,7363400
2020-12-30,28.850000,29.090000,28.750000,28.850000,28.850000,20928700
2021-01-04,29.139999,29.740000,29.010000,29.500000,29.500000,16486300
2021-01-05,29.459999,30.590000,28.920000,30.400000,30.400000,20245000
2021-01-06,30.500000,31.250000,30.490000,30.750000,30.750000,23213000
2021-01-07,30.920000,31.750000,30.920000,31.650000,31.650000,16348700
2021-01-08,31.879999,32.340000,31.030001,31.590000,31.590000,17349000
